Team,Possession_Control_%,Attempts_On_Target,Goals,Attempts_At_Goal,xG
England,50,52,20,118,15.03
France,51,59,20,139,16.78
Argentina,53,46,19,115,15.45
Spain,58,54,14,140,17.48
Belgium,46,35,14,112,10.62
Norway,49,30,13,65,9.93
USA,52,19,11,59,6.37
Germany,56,28,11,74,8.64
Netherlands,50,22,11,46,5
Senegal,49,22,10,68,7.22
Switzerland,49,30,10,74,9.59
Brazil,48,29,10,73,10.88
Morocco,53,26,10,69,6.57
Mexico,48,21,10,70,8.1
Canada,46,32,9,81,9.02
Portugal,53,17,8,62,6.39
Egypt,46,19,8,67,5.75
Japan,42,11,8,32,3.17
Sweden,43,23,7,48,4.66
Austria,41,8,6,31,3.88
Croatia,46,17,6,37,3.41
Bosnia and Herzegovina,40,14,5,37,2.04
Congo DR,37,10,5,41,3.71
Algeria,56,16,5,44,4.73
Côte d'Ivoire,45,14,5,45,5.5
Colombia,53,31,5,94,7.32
New Zealand,42,15,4,31,2.48
Cabo Verde,35,12,4,49,2.56
Australia,35,13,3,42,2.73
Paraguay,27,8,3,35,1.99
Türkiye,58,14,3,70,5.5
Uruguay,51,13,3,49,3.95
IR Iran,37,10,3,37,4.57
Jordan,29,9,3,24,1.87
Qatar,31,6,2,17,1.88
Ghana,34,3,2,23,2.34
Tunisia,36,6,2,18,1.12
Czechia,37,8,2,34,2.44
Korea Republic,56,11,2,32,3.38
Uzbekistan,35,5,2,18,1.71
Haiti,42,7,2,31,1.62
South Africa,46,11,2,39,2.48
Ecuador,52,20,2,53,5.88
Curaçao,32,7,1,29,1.7
Scotland,41,7,1,29,2.34
Saudi Arabia,33,8,1,17,1.52
Iraq,37,2,1,21,2.11
Panama,42,7,0,32,2.19
