"Team,Confederation,Shots_per_90"
"Czech Republic,UEFA,15.34"
"Switzerland,UEFA,13.88"
"Bosnia and Herzegovina,UEFA,15.69"
"Scotland,UEFA,17.70"
"Türkiye,UEFA,13.66"
"Germany,UEFA,13.66"
"Netherlands,UEFA,17.83"
"Sweden,UEFA,15.97"
"Belgium,UEFA,13.12"
"Spain,UEFA,15.45"
"France,UEFA,13.14"
"Norway,UEFA,13.13"
"Austria,UEFA,14.70"
"Portugal,UEFA,10.19"
"England,UEFA,11.85"
"Croatia,UEFA,9.84"
"Mexico,Non-UEFA,10.26"
"South Africa,Non-UEFA,10.61"
"South Korea,Non-UEFA,8.28"
"Canada,Non-UEFA,12.80"
"Qatar,Non-UEFA,10.51"
"Brazil,Non-UEFA,10.98"
"Morocco,Non-UEFA,10.66"
"Haiti,Non-UEFA,9.63"
"United States,Non-UEFA,9.75"
"Australia,Non-UEFA,8.44"
"Paraguay,Non-UEFA,10.37"
"Ivory Coast,Non-UEFA,9.58"
"Ecuador,Non-UEFA,9.62"
"Curaçao,Non-UEFA,8.38"
"Japan,Non-UEFA,8.60"
"Tunisia,Non-UEFA,11.23"
"Egypt,Non-UEFA,10.67"
"Iran,Non-UEFA,10.15"
"New Zealand,Non-UEFA,8.96"
"Cabo Verde,Non-UEFA,11.39"
"Uruguay,Non-UEFA,10.32"
"Saudi Arabia,Non-UEFA,10.68"
"Senegal,Non-UEFA,10.35"
"Iraq,Non-UEFA,13.43"
"Argentina,Non-UEFA,14.81"
"Algeria,Non-UEFA,11.53"
"Jordan,Non-UEFA,12.79"
"Colombia,Non-UEFA,10.23"
"DR Congo,Non-UEFA,10.33"
"Uzbekistan,Non-UEFA,6.80"
"Ghana,Non-UEFA,8.74"
"Panama,Non-UEFA,10.33"
