Team,Possession_Control_%,Attempts_On_Target,Goals,Attempts_At_Goal,xG,Possession_Group
England,50,52,20,118,15.03,High Possession
France,51,59,20,139,16.78,High Possession
Argentina,53,46,19,115,15.45,High Possession
Spain,58,54,14,140,17.48,High Possession
Belgium,46,35,14,112,10.62,High Possession
Norway,49,30,13,65,9.93,High Possession
USA,52,19,11,59,6.37,High Possession
Germany,56,28,11,74,8.64,High Possession
Netherlands,50,22,11,46,5.0,High Possession
Senegal,49,22,10,68,7.22,High Possession
Switzerland,49,30,10,74,9.59,High Possession
Brazil,48,29,10,73,10.88,High Possession
Morocco,53,26,10,69,6.57,High Possession
Mexico,48,21,10,70,8.1,High Possession
Canada,46,32,9,81,9.02,High Possession
Portugal,53,17,8,62,6.39,High Possession
Egypt,46,19,8,67,5.75,High Possession
Japan,42,11,8,32,3.17,Low Possession
Sweden,43,23,7,48,4.66,Low Possession
Austria,41,8,6,31,3.88,Low Possession
Croatia,46,17,6,37,3.41,High Possession
Bosnia and Herzegovina,40,14,5,37,2.04,Low Possession
Congo DR,37,10,5,41,3.71,Low Possession
Algeria,56,16,5,44,4.73,High Possession
Côte d'Ivoire,45,14,5,45,5.5,Low Possession
Colombia,53,31,5,94,7.32,High Possession
New Zealand,42,15,4,31,2.48,Low Possession
Cabo Verde,35,12,4,49,2.56,Low Possession
Australia,35,13,3,42,2.73,Low Possession
Paraguay,27,8,3,35,1.99,Low Possession
Türkiye,58,14,3,70,5.5,High Possession
Uruguay,51,13,3,49,3.95,High Possession
IR Iran,37,10,3,37,4.57,Low Possession
Jordan,29,9,3,24,1.87,Low Possession
Qatar,31,6,2,17,1.88,Low Possession
Ghana,34,3,2,23,2.34,Low Possession
Tunisia,36,6,2,18,1.12,Low Possession
Czechia,37,8,2,34,2.44,Low Possession
Korea Republic,56,11,2,32,3.38,High Possession
Uzbekistan,35,5,2,18,1.71,Low Possession
Haiti,42,7,2,31,1.62,Low Possession
South Africa,46,11,2,39,2.48,High Possession
Ecuador,52,20,2,53,5.88,High Possession
Curaçao,32,7,1,29,1.7,Low Possession
Scotland,41,7,1,29,2.34,Low Possession
Saudi Arabia,33,8,1,17,1.52,Low Possession
Iraq,37,2,1,21,2.11,Low Possession
Panama,42,7,0,32,2.19,Low Possession
